id;email;is_active;is_primary;tag;created_by;created_at;updated_by;updated_at
1;"!&])N@F<%H+x.A";false;false;mint Consultant circuit;deposit;2021-08-09;Concrete;2021-08-08
2;"(-6C@OQI&.L3,?";false;true;impactful hierarchy;and Greenland Integration;2021-08-08;Sleek Shoes quantifying;2021-08-08
3;"8@k.O$";false;true;gold Buckinghamshire;Response Quality programming;2021-08-08;web Shoes directional;2021-08-08
4;"K@y=>.4yI";true;true;cyan;back-end;2021-08-09;B2B Pants Cotton;2021-08-08
5;")-(@\:H>G.a7";false;false;application SCSI firewall;Car Jersey 4th;2021-08-08;Optional Bacon composite;2021-08-09
6;":tB@p'.)$z";false;true;Clothing Metal Green;SQL;2021-08-08;Sleek;2021-08-09
7;"(b#@5X7=.=";false;false;Account deposit SQL;Pine Regional;2021-08-08;Avon RAM;2021-08-08
8;"1(@5.pm4LH";false;true;green moratorium Bacon;Programmable;2021-08-08;Cheese strategize;2021-08-09
9;";sal@n>:KJ'.(";true;true;Home Way;Mississippi COM;2021-08-08;exploit Assistant;2021-08-08
10;"m@lhK.XAk{n";false;false;backing aggregate Guinea-Bissau;Profound benchmark;2021-08-08;Soap Front-line;2021-08-08
