id;phone;is_active;is_primary;tag;created_by;created_at;updated_by;updated_at
1;6079148448;false;true;orange repurpose;Checking;2021-08-09;Metal Realigned;2021-08-08
2;1981901563;false;false;standardization;withdrawal Dinar yellow;2021-08-08;back-end;2021-08-08
3;6615287082;true;true;Expanded;mobile Cambridgeshire Dinar;2021-08-08;Cambodia encryption Grocery;2021-08-09
4;4983708275;true;false;instruction Iowa redefine;Bahamas;2021-08-09;circuit Sports 6th;2021-08-09
5;8294695194;false;false;zero extend Integration;CSS Computer;2021-08-08;Branding Berkshire;2021-08-09
6;6133580139;true;false;Drives Graphic hacking;Money Berkshire pixel;2021-08-08;Florida wireless;2021-08-08
7;5524873352;false;true;Grenada partnerships;Ranch Intranet;2021-08-08;Ethiopia magenta;2021-08-09
8;2983477462;false;true;Phased Landing THX;Fish Steel sexy;2021-08-08;dot-com;2021-08-08
9;8663977582;false;false;Avon Shoes dot-com;Dynamic Arizona transition;2021-08-08;neural-net Money;2021-08-08
10;9454256861;true;true;Designer Fully-configurable;virtual;2021-08-08;Architect Republic;2021-08-08
